id,naslov,leto,ocena
dracula_pages_from_a_virgins_diary,Dracula: Pages From a Virgin's Diary,2003,87
scream_2,Scream 2,1997,81
standing_in_the_shadows_of_motown,Standing in the Shadows of Motown,2002,92
1083414-parent_trap,The Parent Trap,1998,86
up_the_yangtze,Up the Yangtze,2007,96
strangers_on_a_train,Strangers on a Train,1951,98
1174399-in_the_shadow_of_the_moon,In the Shadow of the Moon,2007,95
peeping-tom,Peeping Tom,1960,96
last_days_in_vietnam,Last Days in Vietnam,2014,95
cowboys_and_aliens,Cowboys & Aliens,2011,44
skyfall,Skyfall,2012,93
fly_away_home,Fly Away Home,1996,86
bambi,Bambi,1942,91
read_my_lips,Read My Lips,2002,97
catch_me_if_you_can,Catch Me If You Can,2002,96
boyhood,Boyhood,2014,98
the_killer_inside_me,The Killer Inside Me,2010,55
red_army_2015,Red Army,2015,97
35_shots_of_rum,35 Rhums (35 Shots of Rum),2008,97
saraband,Saraband,2003,92
the-loved-ones-2009,The Loved Ones,2012,98
i_am_trying_to_break_your_heart,I Am Trying to Break Your Heart,2002,88
the-passenger-professione-reporter,Professione: reporter (The Passenger),1975,91
wake_in_fright,Wake in Fright,2012,100
sex_lies_and_videotape,"sex, lies, and videotape",1989,98
400_blows,The 400 Blows (Les Quatre cents coups),1959,100
10009274-priest,Priest,2011,15
rosemarys_baby,Rosemary's Baby,1968,99
five_easy_pieces,Five Easy Pieces,1970,86
1017776-rocky,Rocky,1976,93
chasing_ice_2012,Chasing Ice,2012,96
1196003-princess_and_the_frog,The Princess and the Frog,2009,84
the_triplets_of_belleville,The Triplets of Belleville,2003,94
the-evil-dead,The Evil Dead,1981,95
star_wars,Star Wars: Episode IV - A New Hope,1977,94
1010678-invasion_of_the_body_snatchers,Invasion of the Body Snatchers,1956,98
red_riding_trilogy,Red Riding Trilogy,2010,86
groundhog_day,Groundhog Day,1993,96
carlos_2010,Carlos,2010,94
gone_with_the_wind,Gone With the Wind,1939,94
harry_potter_and_the_half_blood_prince,Harry Potter and the Half-Blood Prince,2009,83
maria_full_of_grace,Maria Full of Grace,2004,97
mafioso_1964,Mafioso,1964,96
10011003-crude,Crude,2009,95
chronicle,Chronicle,2012,85
1002448-birds,The Birds,1963,96
1075422-hamlet,Hamlet,1996,95
cutie_and_the_boxer,Cutie And The Boxer,2013,96
enchanted,Enchanted,2007,93
caramel,Caramel,2008,92
nosferatu,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",1922,97
project_nim,Project Nim,2011,98
claim,The Claim,2000,62
1087935-buena_vista_social_club,Buena Vista Social Club,1999,91
big_hero_6,Big Hero 6,2014,89
in_the_loop,In the Loop,2009,94
the_overnighters,The Overnighters,2014,98
lost_in_la_mancha,Lost in La Mancha,2003,94
willow_creek,Willow Creek,2014,86
up,Up,2009,98
overnight,Overnight,2004,78
1013227-manchurian_candidate,The Manchurian Candidate,1962,98
aguirre_the_wrath_of_god,"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)",1972,98
the_wind_rises,The Wind Rises,2014,89
the_lego_movie,The LEGO Movie,2014,96
1020662-suspiria,Suspiria,1977,93
source_code,Source Code,2011,92
dances_with_wolves,Dances With Wolves,1990,82
back_to_the_future,Back to the Future,1985,96
inside_deep_throat,Inside Deep Throat,2005,83
what-ever-happened-to-baby-jane,What Ever Happened to Baby Jane?,1960,91
ran,Ran,1985,95
ernest_and_celestine,Ernest & Célestine,2014,97
tangled,Tangled,2010,90
1167811-ballets_russes,Ballets Russes,2005,91
frankenweenie_2012,Frankenweenie,2012,87
enter_the_dragon,Enter the Dragon,1973,95
blindsight,Blindsight,2006,98
live_die_repeat_edge_of_tomorrow,Live Die Repeat: Edge of Tomorrow,2014,90
blood_simple,Blood Simple,1984,94
paprika,Paprika,2006,84
blazing_saddles,Blazing Saddles,1974,90
alamo,The Alamo,2004,29
hugo,Hugo,2011,94
kurt_cobain_montage_of_heck_2015,Kurt Cobain: Montage Of Heck,2015,98
101_dalmatians,101 Dalmatians,1961,98
evil_dead_2_dead_by_dawn,Evil Dead 2: Dead by Dawn,1987,98
waking_sleeping_beauty,Waking Sleeping Beauty,2010,71
sukiyaki_western_django,Sukiyaki Western Django,2008,56
1017346-red_shoes,The Red Shoes,1948,96
the_interrupters_2011,The Interrupters,2011,99
all_is_lost_2013,All Is Lost,2013,94
talk_to_her,Talk to Her,2002,92
the_tale_of_the_princess_kaguya,The Tale of the Princess Kaguya,2014,100
eat_drink_man_woman,Eat Drink Man Woman (Yin shi nan nu),1994,93
benhur,Ben-Hur,1959,88
girlfight,Girlfight,2000,87
dont_look_now,Don't Look Now,1973,96
the_bicycle_thief,The Bicycle Thief,1949,98
waste-land,Waste Land,2010,100
56_up,56 Up,2013,98
duma,Duma,2005,93
duck_soup,Duck Soup,1933,93
yoo_hoo_mrs_goldberg,"Yoo-hoo, Mrs. Goldberg",2009,93
shine,Shine,1996,91
undefeated_2012,Undefeated,2012,96
harry_potter_and_the_chamber_of_secrets,Harry Potter and the Chamber of Secrets,2002,82
ten_canoes,Ten Canoes,2007,98
i_am_divine,I Am Divine,2013,96
1007931-from_here_to_eternity,From Here to Eternity,1953,92
ajami,Ajami,2010,97
du-rififi-chez-les-hommes-rififi,Du Rififi Chez les Hommes (Rififi),1956,94
every_little_step,Every Little Step,2009,92
graduate,The Graduate,1967,89
muscle_shoals_2013,Muscle Shoals,2013,96
heavens_gate,Heaven's Gate,1980,57
1127407-missing,The Missing,2003,58
le_cercle_rouge,Le Cercle Rouge,1970,95
band_of_outsiders,Bande à part (Band of Outsiders),1964,95
mean_streets,Mean Streets,1973,98
gone_girl,Gone Girl,2014,88
chariots_of_fire,Chariots of Fire,1981,83
full_metal_jacket,Full Metal Jacket,1987,95
the_crash_reel_2013,The Crash Reel,2013,96
1059489-wild_bunch,The Wild Bunch,1969,98
altered_states,Altered States,1980,86
tears_of_the_black_tiger,Fah talai jone (Tears of the Black Tiger),2007,74
sound_of_music,The Sound of Music,1965,85
the_life_and_times_of_hank_greenberg,The Life and Times of Hank Greenberg,2000,97
once,Once,2007,97
1068832-sense_and_sensibility,Sense and Sensibility,1995,98
midnight_in_paris,Midnight in Paris,2011,93
chicken_run,Chicken Run,2000,97
dogtown_and_zboys,Dogtown and Z-Boys,2001,92
jiro_dreams_of_sushi,Jiro Dreams of Sushi,2012,99
the_island_president,The Island President,2012,98
1005973-diva,Diva,1981,98
mea_maxima_culpa_silence_in_the_house_of_god,Mea Maxima Culpa: Silence In The House Of God,2012,98
sicko,Sicko,2007,91
good_the_bad_and_the_weird,"The Good, the Bad, and the Weird",2010,84
princess_mononoke_1999,Princess Mononoke,1999,92
argo_2012,Argo,2012,96
drag_me_to_hell,Drag Me to Hell,2009,92
jafar_panahis_taxi,Jafar Panahi's Taxi,2015,96
wall_e,WALL-E,2008,96
nostalgia_for_the_light,Nostalgia for the Light,2011,100
eyes_without_a_face_1962,Eyes Without a Face,1962,98
